date,browser,os,visits
2022-01-26,Safari,iOS,21188151
2022-01-26,Chrome,Windows,16901013
2022-01-26,Chrome,Android,11623188
2022-01-26,Edge,Windows,5213818
2022-01-26,Safari,Macintosh,4170686
2022-01-26,Chrome,Macintosh,3180638
2022-01-26,Chrome,iOS,1941077
2022-01-26,Firefox,Windows,1472212
2022-01-26,Chrome,Chrome OS,1359573
2022-01-26,Samsung Internet,Android,1325655
2022-01-26,Safari (in-app),iOS,833027
2022-01-26,Internet Explorer,Windows,799973
2022-01-26,Android Webview,Android,761809
2022-01-26,Chrome,Linux,509202
2022-01-26,Firefox,Macintosh,282826
2022-01-26,Opera,Windows,123016
2022-01-26,Amazon Silk,Android,118848
2022-01-26,Firefox,Android,112439
2022-01-26,Firefox,Linux,105837
2022-01-26,Welltory,iOS,98030
2022-01-26,Opera,Android,67619
2022-01-26,Emb,(not set),65797
2022-01-26,Mercari_d,iOS,42295
2022-01-26,Mozilla Compatible Agent,Macintosh,28976
2022-01-26,Samsung Internet,Linux,28841
2022-01-26,Edge,Macintosh,16760
2022-01-26,UC Browser,Android,16689
2022-01-26,Mercari_d,Android,15305
2022-01-26,Safari,Windows,13963
2022-01-26,YaBrowser,Windows,12169
2022-01-26,TE_IEP,(not set),10543
2022-01-26,Opera,Macintosh,9615
2022-01-26,Safari,Linux,8337
2022-01-26,ELB-HealthChecker,(not set),7527
2022-01-26,Opera Mini,(not set),4615
2022-01-26,Edge,Linux,3992
2022-01-26,Opera Mini,Android,3180
2022-01-26,Coc Coc,Windows,3032
2022-01-26,Opera,Linux,2977
2022-01-26,bitdiscovery,(not set),2786
2022-01-26,Chrome,(not set),2660
2022-01-26,YaBrowser,Android,2470
2022-01-26,Mozilla Compatible Agent,Windows,2466
2022-01-26,Samsung Internet,Tizen,2101
2022-01-26,ThousandEyes,(not set),2013
2022-01-26,SmartTraveler.iOS,(not set),1978
2022-01-26,Firefox,OS/2,1768
2022-01-26,Sparkle,iOS,1619
2022-01-26,Android Browser,Android,1193
2022-01-26,Chrome,BlackBerry,1038
2022-01-26,CloudWatchSynthetics,(not set),1004
2022-01-26,UC Browser,iOS,957
2022-01-26,Safari,Playstation 4,887
2022-01-26,Mozilla,Windows,844
2022-01-26,YaBrowser,iOS,821
2022-01-26,Mozilla Compatible Agent,(not set),771
2022-01-26,NULL,(not set),717
2022-01-26,SeaMonkey,Windows,701
2022-01-26,IRS - TRG19-01Loeim,(not set),697
2022-01-26,Android Runtime,Android,696
2022-01-26,(not set),(not set),662
2022-01-26,Amazon.com,Android,662
2022-01-26,YaBrowser,Macintosh,662
2022-01-26,Instagram 218.0.0.6.105,iOS,628
2022-01-26,Safari,Windows Phone,596
2022-01-26,United States Postal Service - TRG19-01Loeim,(not set),560
2022-01-26,Walgreens,Android,557
2022-01-26,Lawfully-Tracker,(not set),445
2022-01-26,[FBAN,(not set),444
2022-01-26,Carousel,(not set),413
2022-01-26,candroid,(not set),408
2022-01-26,lua-resty-http,(not set),389
2022-01-26,Microsoft Office Word 2014,(not set),377
2022-01-26,Grailed,iOS,365
2022-01-26,Katja Helen kado12ab@gmail.com,(not set),365
2022-01-26,Dwayne Donaldson dwayne@live.com,(not set),363
2022-01-26,Firefox,Firefox OS,360
2022-01-26,Coc Coc,Android,339
2022-01-26,casper,(not set),333
2022-01-26,BestBuy,iOS,319
2022-01-26,deepnoc - https:,(not set),317
2022-01-26,Iron,iOS,306
2022-01-26,DoximityWebView,iOS,287
2022-01-26,Puffin,Linux,287
2022-01-26,Chrome,UNIX,286
2022-01-26,Instagram 211.0.0.21.118,iOS,279
2022-01-26,Puffin,Android,269
2022-01-26,CypressBrowser,(not set),252
2022-01-26,Internet Explorer,Windows Phone,233
2022-01-26,Firefox,FreeBSD,224
2022-01-26,pa11y,(not set),197
2022-01-26,BlackBerry,BlackBerry,183
2022-01-26,Microsoft Office Excel 2014,(not set),180
2022-01-26,iPhone,iOS,176
2022-01-26,mozilla,(not set),173
2022-01-26,SeaMonkey,Linux,169
2022-01-26,HRB-MOBILE-IOS-PHONE-TAXES-FACEID-11.3.0,(not set),151
2022-01-26,Google-Test2,(not set),150
2022-01-26,Opera Mini,Samsung,138
2022-01-26,Podcasts,(not set),136
2022-01-26,WordPress,(not set),135
2022-01-26,HRB-MOBILE-ANDROID-PHONE-MYBLOCK-v10.1.0,(not set),133
2022-01-26,UC Browser,Windows,130
2022-01-26,Playstation 3,Playstation 3,125
2022-01-26,Maxthon,Windows,111
2022-01-26,YaBrowser,Linux,101
2022-01-26,Coc Coc,Macintosh,98
2022-01-26,Drupal,(not set),95
2022-01-26,ZhihuHybrid DefaultBrowser osee2unifiedRelease,iOS,92
2022-01-26,Mobile,iOS,91
2022-01-26,Mozilla,Linux,86
2022-01-26,SeaMonkey,Macintosh,83
2022-01-26,Handshake iOS 4.10.1,(not set),79
2022-01-26,Puffin,iOS,78
2022-01-26,BJS,iOS,77
2022-01-26,Chrome,Tizen,75
2022-01-26,Firefox,OpenBSD,73
2022-01-26,Edge,Xbox,71
2022-01-26,Firefox,iOS,70
2022-01-26,Seznam,Windows,69
2022-01-26,Firefox,NetBSD,67
2022-01-26,Handshake iOS 4.11.0,(not set),64
2022-01-26,HRB-MOBILE-IOS-PHONE-MYBLOCK-FACEID,(not set),63
2022-01-26,Seznam,Android,63
2022-01-26,Netscape,Windows,59
2022-01-26,{self.chrome_ua},(not set),58
2022-01-26,Maxthon,Android,56
2022-01-26,Revolut,Android,55
2022-01-26,DingTalkBot-LinkService,(not set),54
2022-01-26,WWApp WWMobile,iOS,52
2022-01-26,Maxthon,Macintosh,51
2022-01-26,Bluebeam Revu Browser - cef version: 57.0.0.0,(not set),49
2022-01-26,MUDV4,(not set),46
2022-01-26,Mozilla Compatible Agent,Linux,46
2022-01-26,UA-name:iOSDasherWebView; client-version: 2.208.0.15847.220114,(not set),45
2022-01-26,Windows NT 6.1,(not set),44
2022-01-26,Booking.App,iOS,42
2022-01-26,Arachnys techteam@arachnys.com,(not set),41
2022-01-26,Seznam,iOS,39
2022-01-26,MRCHROME,Windows,38
2022-01-26,Nintendo Browser,(not set),38
2022-01-26,YE,Android,38
2022-01-26,com.airfind.deltabrowser,Android,38
2022-01-26,LeapPadUltimate,Linux,37
2022-01-26,Safari,SymbianOS,36
2022-01-26,android,(not set),36
2022-01-26,AppleCoreMedia,iOS,35
2022-01-26,Firefox,SunOS,34
2022-01-26,SeRanking SEOChecker,(not set),34
2022-01-26,NetFront,Sony,33
2022-01-26,com.doximity.doximitydroid,Android,33
2022-01-26,"Not A;Brand"";v=""99""",(not set),31
2022-01-26,Welltory,Android,31
2022-01-26,Safari,(not set),29
2022-01-26,Uzbl,Linux,29
2022-01-26,HRB-MOBILE-IOS-PHONE-TAXES-11.3.0,(not set),28
2022-01-26,UA-name:iOSDasherWebView; client-version: 2.209.0.16044.220121,(not set),28
2022-01-26,Edge,iOS,27
2022-01-26,NinjBot,(not set),27
2022-01-26,CkAndroidApp,(not set),26
2022-01-26,Edge,Android,26
2022-01-26,Iron,Android,26
2022-01-26,OSUWMC,iOS,26
2022-01-26,WWApp WWMobile,Android,26
2022-01-26,Lore Document Collector 0796c8df5661a8fc945fece123861e0d,(not set),23
2022-01-26,Mozilla,Macintosh,23
2022-01-26,Microsoft Office PowerPoint 2014,(not set),22
2022-01-26,Chrome,NetBSD,21
2022-01-26,Lore Document Collector 16cdc1c0441e623ad417f48747de26d4,(not set),21
2022-01-26,Venmo,iOS,21
